Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
258	40555.0	21358.0	0.848	2944.0	1.0
259	57599.0	23075.0	0.805	2858.0	1.0
260	30063.0	20875.0	0.9055	3190.0	1.0
261	32140.0	21491.0	0.904	3039.0	1.0
262	38435.0	21131.0	0.8625	2768.0	1.0
263	73506.0	22885.0	0.757	3028.0	1.0
264	63715.0	23052.0	0.7795	3139.0	1.0
265	33041.0	19688.0	0.885	2914.0	1.0
266	33874.0	21891.0	0.893	2955.0	1.0
267	47991.0	21583.0	0.83	2880.0	1.0
268	37926.0	20935.0	0.8585	3401.0	1.0
269	31078.0	20925.0	0.902	2962.0	1.0
270	37824.0	21485.0	0.8705	2983.0	1.0
271	37022.0	20605.0	0.86	3041.0	1.0
272	37344.0	21618.0	0.876	2851.0	1.0
273	49456.0	21935.0	0.828	2817.0	1.0
274	35210.0	20873.0	0.8735	2821.0	1.0
275	34323.0	21007.0	0.8875	2964.0	1.0
276	36202.0	20531.0	0.872	2927.0	1.0
277	75790.0	24003.0	0.7595	2862.0	1.0
278	41717.0	20729.0	0.846	3072.0	1.0
279	37554.0	21437.0	0.8635	2942.0	1.0
280	36596.0	20257.0	0.865	2750.0	1.0
281	31899.0	21261.0	0.8995	3214.0	1.0
282	37028.0	21651.0	0.8705	3214.0	1.0
283	48189.0	22500.0	0.8255	2918.0	1.0
284	40940.0	22831.0	0.8625	3050.0	1.0
285	63735.0	22709.0	0.79	2903.0	1.0
286	29497.0	19810.0	0.907	2870.0	1.0
287	34022.0	20611.0	0.8745	3092.0	1.0
288	30490.0	20256.0	0.9	3073.0	1.0
289	41719.0	20841.0	0.841	2852.0	1.0
290	67689.0	23691.0	0.786	2997.0	1.0
291	73108.0	22144.0	0.7565	3002.0	1.0
292	59453.0	21706.0	0.7815	2919.0	1.0
293	77178.0	22775.0	0.7535	3123.0	1.0
294	34195.0	20937.0	0.882	2907.0	1.0
295	46238.0	22049.0	0.8375	2869.0	1.0
296	36742.0	22705.0	0.8875	3088.0	1.0
297	46490.0	22706.0	0.834	3248.0	1.0
298	34407.0	21366.0	0.8805	3011.0	1.0
299	39744.0	22294.0	0.863	3076.0	1.0
300	36907.0	22201.0	0.882	2990.0	1.0
301	34966.0	21165.0	0.8845	2961.0	1.0
302	43002.0	21441.0	0.837	3106.0	1.0
303	33454.0	21394.0	0.9	2868.0	1.0
304	51701.0	22954.0	0.8125	3072.0	1.0
305	44144.0	21410.0	0.8395	2990.0	1.0
306	39022.0	20628.0	0.8545	2999.0	1.0
307	32376.0	21079.0	0.894	3226.0	1.0
308	39619.0	22441.0	0.868	3034.0	1.0
309	33718.0	20016.0	0.8735	2891.0	1.0
310	45481.0	21836.0	0.836	2958.0	1.0
311	83486.0	23504.0	0.7415	3216.0	1.0
312	32252.0	21752.0	0.9075	3122.0	1.0
313	37188.0	21779.0	0.874	3268.0	1.0
314	40887.0	21727.0	0.8555	2929.0	1.0
315	40544.0	22573.0	0.8685	3090.0	1.0
316	38619.0	23105.0	0.871	3167.0	1.0
317	50412.0	21706.0	0.808	3073.0	1.0
318	45982.0	22606.0	0.8455	2905.0	1.0
319	45205.0	23599.0	0.8575	2943.0	1.0
320	42530.0	21350.0	0.8445	2745.0	1.0
321	38084.0	21575.0	0.8685	3232.0	1.0
322	38107.0	20487.0	0.8495	3105.0	1.0
323	40589.0	22816.0	0.8695	2768.0	1.0
324	42524.0	23571.0	0.867	3153.0	1.0
325	31325.0	20697.0	0.8955	2988.0	1.0
326	30999.0	21035.0	0.903	2891.0	1.0
327	42289.0	22064.0	0.8465	2862.0	1.0
328	30354.0	19511.0	0.894	2685.0	1.0
