Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
302	64585.0	22869.0	0.7825	2773.0	1.0
303	58757.0	21825.0	0.7935	2776.0	1.0
304	67604.0	24242.0	0.783	2939.0	1.0
305	68066.0	22222.0	0.774	2482.0	1.0
306	68851.0	22797.0	0.774	2775.0	1.0
307	62415.0	23602.0	0.8005	2769.0	1.0
308	63081.0	20874.0	0.771	2827.0	1.0
309	64566.0	22971.0	0.779	3027.0	1.0
310	62787.0	22478.0	0.785	2783.0	1.0
311	64096.0	23427.0	0.7865	2888.0	1.0
312	69641.0	21965.0	0.7585	2810.0	1.0
313	67288.0	23051.0	0.7695	3121.0	1.0
314	56667.0	23302.0	0.81	2963.0	1.0
315	72929.0	23514.0	0.755	3316.0	1.0
316	66601.0	22321.0	0.77	3083.0	1.0
317	70092.0	23714.0	0.7705	3320.0	1.0
318	60274.0	22621.0	0.7905	2846.0	1.0
319	60984.0	22211.0	0.7945	2769.0	1.0
320	64037.0	25146.0	0.7875	3238.0	1.0
321	65791.0	23017.0	0.7835	2934.0	1.0
322	59398.0	23336.0	0.802	2876.0	1.0
323	73491.0	21908.0	0.754	2845.0	1.0
324	64888.0	22933.0	0.7765	2736.0	1.0
325	76209.0	23277.0	0.746	3006.0	1.0
326	68997.0	22948.0	0.764	3004.0	1.0
327	51404.0	21955.0	0.8175	2657.0	1.0
328	62543.0	22694.0	0.789	2778.0	1.0
329	62023.0	23009.0	0.783	2947.0	1.0
330	68169.0	22659.0	0.766	3030.0	1.0
331	58625.0	22623.0	0.794	2929.0	1.0
332	74965.0	23954.0	0.7655	3047.0	1.0
333	66560.0	23998.0	0.7845	2936.0	1.0
334	53735.0	23277.0	0.8235	2871.0	1.0
335	66686.0	23313.0	0.782	2973.0	1.0
336	58439.0	23621.0	0.802	3129.0	1.0
337	57146.0	23238.0	0.809	2750.0	1.0
338	66731.0	21956.0	0.772	3126.0	1.0
339	55517.0	23255.0	0.81	2876.0	1.0
340	87138.0	23636.0	0.729	3315.0	1.0
341	55627.0	22677.0	0.8055	3043.0	1.0
342	57155.0	23343.0	0.7995	2796.0	1.0
343	67360.0	23579.0	0.771	3054.0	1.0
344	55524.0	23223.0	0.8095	2844.0	1.0
345	64332.0	22655.0	0.7685	2920.0	1.0
346	70839.0	23459.0	0.764	3739.0	1.0
347	63526.0	22276.0	0.7835	2711.0	1.0
348	63623.0	23325.0	0.791	3128.0	1.0
349	53373.0	23443.0	0.8255	2838.0	1.0
350	68864.0	22239.0	0.7655	2792.0	1.0
351	74446.0	24022.0	0.757	3070.0	1.0
352	65854.0	23194.0	0.771	3093.0	1.0
353	64920.0	22606.0	0.776	3010.0	1.0
354	58776.0	22248.0	0.795	3066.0	1.0
355	66549.0	22361.0	0.781	2663.0	1.0
356	78771.0	23665.0	0.759	3135.0	1.0
357	74942.0	24030.0	0.75	3133.0	1.0
358	54603.0	23583.0	0.82	2884.0	1.0
359	65620.0	23371.0	0.783	2840.0	1.0
360	55698.0	21436.0	0.8015	2384.0	1.0
361	86908.0	24615.0	0.7445	2845.0	1.0
